feature,auc,antiP_mean,antiD_mean
beta,0.790173573372094,0.35104548895084536,0.2929378287035612
n_hits,0.5479566029396556,14.170468352233279,13.755532573478362
edep_sum,0.8436835165126589,41.27595504175538,55.88969613427201
edep_mean,0.9933506594328853,2.9233306045610576,4.077553026278147
tof_mean,0.7280123455120955,0.20104257653808333,0.24194546559667338
stop_mean,0.5030860563567733,0.2452094429690396,0.24287491410536818
vol_mean,0.5211270124375864,1.6949413229160233,1.6802827819562833
pos_x_mean,0.5003132915301244,-0.0005876195940213669,-0.00017286899547164935
pos_y_mean,0.5004865135978241,-0.0005321372797240269,8.55337961278576e-05
pos_z_mean,0.5184502260087979,-0.057586182123298205,-0.04444195722697123
