feature,hard_median,rejected_median,hard_mean,rejected_mean,standardized_mean_difference,absolute_standardized_mean_difference
tof_dt_scaled,0.15159857273101807,0.18289999663829803,0.15948125241774436,0.18867409986571432,-0.8277965805517887,0.8277965805517887
tof_dt_ns,7.579928398132324,9.144999504089355,7.974062625534566,9.43370499562221,-0.82779657892478,0.82779657892478
inner_tof_n_hits_scaled,0.44999998807907104,0.3499999940395355,0.4530134592630348,0.3705907949957508,0.6035703362288127,0.6035703362288127
n_hits,25.0,21.0,26.404330017554127,21.78846990122383,0.5738871905896971,0.5738871905896971
outer_tof_n_hits_scaled,0.30000001192092896,0.25,0.32486834612033605,0.2782009099159348,0.4206277291368479,0.4206277291368479
inner_tof_energy_scaled,0.25511792302131653,0.2230139970779419,0.31479168610048963,0.26307215946144363,0.28345955996677596,0.28345955996677596
tof_energy_layer_10,8.827098846435547,11.22909927368164,11.153800373819573,13.617669037338251,-0.268606845168963,0.268606845168963
tof_energy_layer_11,2.394388198852539,1.2742555141448975,4.569178375063737,2.6077061196245874,0.2640576524734858,0.2640576524734858
tof_profile_energy_sum,42.88840103149414,38.60430908203125,49.70850977108031,43.80631444847731,0.2517746248467547,0.2517746248467547
outer_tof_energy_fraction,0.39071300625801086,0.4109645485877991,0.38008374179347765,0.4068463064599951,-0.2478550268897192,0.2478550268897192
total_energy,69.9867172241211,64.53523254394531,78.61803751454987,71.81596459866667,0.20103609462068026,0.20103609462068026
tof_energy_layer_13,1.1222543716430664,0.0,3.6484591538487616,2.3190635723787163,0.18952013639167925,0.18952013639167925
tof_energy_layer_14,0.9894064664840698,0.0,4.105252163396138,2.492792476601163,0.18676529518280746,0.18676529518280746
tof_energy_layer_15,1.538132905960083,1.1954312324523926,4.547875794278769,2.9040573394839058,0.18367838825254199,0.18367838825254199
tof_energy_layer_00,7.800046920776367,9.493228912353516,9.412567352816122,10.670244460412887,-0.1836616150225649,0.1836616150225649
tof_energy_layer_12,1.10344660282135,0.0,3.454602713043806,2.3659273942636516,0.14241383953851505,0.14241383953851505
tof_energy_layer_02,1.0979608297348022,0.0,2.302137929620303,1.7212866701131477,0.120970927108052,0.120970927108052
tof_energy_layer_04,0.7927209734916687,0.0,2.223694762150714,1.7108792659714827,0.11316477072941024,0.11316477072941024
tof_energy_layer_03,0.8800306916236877,0.0,2.167306326173852,1.675476458968421,0.10640380544323805,0.10640380544323805
tof_energy_layer_05,1.0062215328216553,0.0,2.123634789170912,1.7212116524554875,0.09128322601564615,0.09128322601564615
sili_energy_layer_08,0.0,0.0,1.5353288550000428,1.152033098171894,0.0824933323774249,0.0824933323774249
sili_energy_layer_00,2.5305769443511963,2.8318569660186768,4.939303597207361,5.618626360743907,-0.06889108847677067,0.06889108847677067
outer_tof_energy_scaled,0.1561625450849533,0.1517520546913147,0.1822934113203119,0.17499098509148336,0.06702688022047555,0.06702688022047555
sili_profile_energy_fraction,0.3334793705460695,0.35701775306074995,0.34485237137944946,0.3561883021508762,-0.059322509263940816,0.059322509263940816
inner_entry_x_scaled,0.07454545795917511,0.07454545795917511,0.023385573830292057,0.0019893464532529164,0.058204989527851546,0.058204989527851546
sili_energy_layer_09,0.0,0.0,1.0523331335247395,0.864104396597818,0.05249584444288025,0.05249584444288025
sili_energy_layer_03,1.2729828357696533,0.9279453158378601,3.6808407023537364,3.2714280467526105,0.05122514697078133,0.05122514697078133
outer_entry_x_scaled,0.07454545795917511,0.07454545795917511,0.016776025504519048,0.0011422828762900417,0.04880800799303786,0.04880800799303786
inner_entry_z_scaled,0.13147500157356262,0.13817499577999115,0.13437443239218733,0.134874580696576,-0.04111240328269567,0.04111240328269567
