feature,hard_median,rejected_median,hard_mean,rejected_mean,standardized_mean_difference,absolute_standardized_mean_difference
tof_dt_ns,7.549070835113525,9.277061939239502,7.892513378254519,9.541015590358885,-0.9591565986551952,0.9591565986551952
tof_dt_scaled,0.15098141878843307,0.18554123491048813,0.15785026752496226,0.1908203117580057,-0.9591565980959198,0.9591565980959198
tof_energy_layer_10,8.393974304199219,11.46083402633667,10.647813339161393,13.837635442161249,-0.3554758334486701,0.3554758334486701
tof_energy_layer_00,7.434955835342407,9.642603397369385,8.933153278425635,10.805836089764503,-0.29123556605590034,0.29123556605590034
inner_tof_n_hits_scaled,0.4000000059604645,0.3499999940395355,0.40370176320633033,0.37021467271074787,0.25464378248549957,0.25464378248549957
n_hits,22.0,21.0,23.45155201342282,21.787561903077467,0.2136041903602179,0.2136041903602179
outer_tof_n_hits_scaled,0.30000001192092896,0.25,0.29697986830325934,0.27798461558631327,0.18093289790380493,0.18093289790380493
sili_profile_energy_sum,18.336934089660645,22.583768844604492,24.44774444963117,28.419118158140826,-0.17407727281319169,0.17407727281319169
sili_energy_layer_00,2.114343047142029,2.935826539993286,4.287361229161757,5.733290968643176,-0.1567891231657665,0.1567891231657665
sili_profile_energy_fraction,0.31694271328617496,0.3608402250823892,0.3306693601158227,0.35845000205215777,-0.14541663087266418,0.14541663087266418
tof_energy_layer_15,1.3860831260681152,1.185090720653534,3.9438823939345067,2.856555568163247,0.13200657964550067,0.13200657964550067
tof_energy_layer_11,1.6916155219078064,1.26485675573349,3.4552418902263806,2.592475874009009,0.13105532999675454,0.13105532999675454
total_energy,60.12410354614258,65.158935546875,68.20167290144319,72.45395729024797,-0.12891229007373434,0.12891229007373434
outer_tof_energy_fraction,0.4032231718301773,0.4110543578863144,0.39568715660064013,0.4070114462617798,-0.10614002798110626,0.10614002798110626
tof_energy_layer_14,0.3253416419029236,0.0,3.135891433794582,2.485925607500403,0.09202252685428425,0.09202252685428425
tof_energy_layer_13,0.19975081831216812,0.0,2.8763479414551663,2.310547592032408,0.09140685601158509,0.09140685601158509
tof_energy_layer_12,0.47598758339881897,0.0,2.9575939306158388,2.344691987349698,0.08911793874408197,0.08911793874408197
outer_tof_energy_scaled,0.13852952420711517,0.15290874987840652,0.167371575647165,0.17607007048800746,-0.0813962870812877,0.0813962870812877
sili_energy_layer_02,1.2161127924919128,1.3259358406066895,3.493686600015683,4.073135285672119,-0.07244630807945653,0.07244630807945653
