feature,hard_median,rejected_median,hard_mean,rejected_mean,standardized_mean_difference,absolute_standardized_mean_difference
n_hits,25.0,32.0,26.404330017554127,32.97366881217086,-0.6269546089119652,0.6269546089119652
total_energy,69.9867172241211,89.50405883789062,78.61803751454987,99.16675097207147,-0.4982013387750328,0.4982013387750328
inner_tof_n_hits_scaled,0.44999998807907104,0.5,0.4530134592630348,0.5385605629561867,-0.4944955127087695,0.4944955127087695
sili_profile_energy_sum,22.846040725708008,34.61647415161133,28.909528027437933,41.51768415428223,-0.45662678622031894,0.45662678622031894
sili_energy_layer_07,0.0,1.3233193159103394,1.642478565391722,4.177572128064661,-0.3589325245204993,0.3589325245204993
outer_tof_n_hits_scaled,0.30000001192092896,0.3499999940395355,0.32486834612033605,0.37270333698578506,-0.35148367293491206,0.35148367293491206
tof_energy_layer_11,2.394388198852539,4.434521198272705,4.569178375063737,8.409706367446777,-0.3215462327168209,0.3215462327168209
sili_energy_layer_06,0.2511937618255615,1.4860879182815552,1.989783124416578,4.272070002888295,-0.3077305282391428,0.3077305282391428
sili_energy_layer_05,0.8599452376365662,1.6961010694503784,2.371493148898505,4.448743044825422,-0.2917869076665542,0.2917869076665542
sili_profile_energy_fraction,0.3334793705460695,0.404341317192886,0.34485237137944946,0.39730214364745503,-0.29092751655049937,0.29092751655049937
sili_energy_layer_09,0.0,0.7905226349830627,1.0523331335247395,2.730974148274871,-0.2863181376070517,0.2863181376070517
tof_profile_energy_sum,42.88840103149414,49.76300811767578,49.70850977108031,57.64906651768648,-0.2816574319474647,0.2816574319474647
sili_energy_layer_08,0.0,0.9214491844177246,1.5353288550000428,3.306048760140743,-0.2720867661498766,0.2720867661498766
inner_tof_energy_scaled,0.25511792302131653,0.307202011346817,0.31479168610048963,0.37218315675723895,-0.25687563309605876,0.25687563309605876
sili_energy_layer_04,0.9955571889877319,2.217519998550415,2.851835120294811,4.852591493191233,-0.24891947020838612,0.24891947020838612
tof_entry_path_mm,940.2322998046875,932.5289916992188,952.8946339276326,943.7114672451567,0.2128942329039255,0.2128942329039255
outer_tof_energy_scaled,0.1561625450849533,0.1725870668888092,0.1822934113203119,0.20430750932136846,-0.18059470275903144,0.18059470275903144
sili_energy_layer_03,1.2729828357696533,2.4381818771362305,3.6808407023537364,4.873636650156888,-0.12843584443535958,0.12843584443535958
outer_tof_energy_fraction,0.39071300625801086,0.37116944789886475,0.38008374179347765,0.366758411845019,0.11758265114949687,0.11758265114949687
tof_energy_layer_03,0.8800306916236877,1.3538610935211182,2.167306326173852,2.696945799426097,-0.10417868971731947,0.10417868971731947
tof_energy_layer_04,0.7927209734916687,1.3283745050430298,2.223694762150714,2.794846674067722,-0.100376186352941,0.100376186352941
sili_energy_layer_01,1.978110432624817,2.6147546768188477,4.955834287491498,4.1911262787137105,0.08220690431886966,0.08220690431886966
tof_energy_layer_00,7.800046920776367,8.368978500366211,9.412567352816122,9.960966869569647,-0.07743290315463712,0.07743290315463712
tof_energy_layer_05,1.0062215328216553,1.2683537006378174,2.123634789170912,2.4673723803685035,-0.07421297603350747,0.07421297603350747
inner_entry_x_scaled,0.07454545795917511,-0.07454545795917511,0.023385573830292057,-0.002660780560907528,0.07167192893491572,0.07167192893491572
outer_entry_z_scaled,1.0439749956130981,1.0372750759124756,1.04086338901743,1.040612485061409,0.06900525716507298,0.06900525716507298
sili_energy_layer_00,2.5305769443511963,2.5942223072052,4.939303597207361,4.364674835449806,0.06093327124851703,0.06093327124851703
tof_energy_layer_13,1.1222543716430664,1.5813056230545044,3.6484591538487616,4.143406621994088,-0.05766404265683006,0.05766404265683006
inner_entry_z_scaled,0.13147500157356262,0.13817499577999115,0.13437443239218733,0.1350386614528157,-0.055184450095349266,0.055184450095349266
sili_energy_layer_02,1.517750859260559,2.54734468460083,3.890297343138583,4.300246787846109,-0.05376841223425371,0.05376841223425371
tof_energy_layer_12,1.10344660282135,1.4464813470840454,3.454602713043806,3.9090417642451523,-0.052782452649602664,0.052782452649602664
outer_entry_x_scaled,0.07454545795917511,0.07454545795917511,0.016776025504519048,0.002602576346269053,0.04345807008913031,0.04345807008913031
